Datum,BHKW1_Biogas,BHKW2_Biogas,Methangehalt CH4,TS-Wert,pH-Wert
734135.5827,2206.998472,5323.330093,52.85255816,7.490770965,7.712531026
734135.666,2217.998472,5346.663426,52.62348813,7.401730656,7.662638436
734135.7493,2228.998472,5369.996759,52.39441811,7.329392781,7.609831936
734135.8327,2239.998472,5393.330093,52.16534808,7.24041475,7.645079082
734135.916,2250.998472,5416.663426,51.93627805,8.037066973,7.660453346
734135.9993,2261.998472,5439.996759,51.70720802,7.95498759,7.66116875
734136.0827,2288.079711,5387.507292,51.66136838,7.593634661,7.634831618
734136.166,2314.163044,5335.007292,51.61555418,7.275828601,7.658640554
734136.2493,2340.246377,5282.507292,51.56973998,7.675961444,7.648628642
734136.3327,2366.329711,5230.007292,51.52392579,7.949014641,7.681428073
734136.416,2392.413044,5177.507292,51.47811159,7.028221476,7.662069955
734136.4993,2418.496377,5125.007292,51.43229739,7.969615384,7.601541474
734136.5827,2444.579711,5072.507292,51.3864832,7.607242314,7.647491919
734136.666,2470.663044,5020.007292,51.340669,7.578605392,7.675941474
734136.7493,2496.746377,4967.507292,51.29485481,7.787158037,7.648203598
734136.8327,2522.829711,4915.007292,51.24904061,7.731496099,7.686900269
734136.916,2548.913044,4862.507292,51.20322641,7.950456109,7.674790313
734136.9993,2574.996377,4810.007292,51.15741222,7.283461831,7.659062194
734137.0827,2555.669352,4850.827662,51.43466277,7.472823888,7.645799767
734137.166,2536.336019,4891.660995,51.7119582,7.87368176,7.679921242
734137.2493,2517.002685,4932.494329,51.98925363,7.532861562,7.699450196
734137.3327,2497.669352,4973.327662,52.26654906,7.728135981,7.697457671
734137.416,2478.336019,5014.160995,52.54384449,8.103351205,7.708431097
734137.4993,2459.002685,5054.994329,52.82113992,7.545127892,7.71029842
734137.5827,2439.669352,5095.827662,53.09843535,7.532734527,7.70897171
734137.666,2420.336019,5136.660995,53.37573078,7.545755277,7.707524835
734137.7493,2401.002685,5177.494329,53.65302621,7.582349652,7.716709294
734137.8327,2381.669352,5218.327662,53.93032164,7.619965402,7.726354378
734137.916,2362.336019,5259.160995,54.20761708,7.657581152,7.735999461
734137.9993,2343.002685,5299.994329,54.48491251,7.123411745,7.699872857
734138.0827,2349.249204,5295.000637,54.34511567,6.841092379,7.523019798
734138.166,2355.499277,5290.000579,54.20526089,7.335409701,7.69746122
734138.2493,2361.749349,5285.000521,54.06540611,7.255167604,7.72117475
734138.3327,2367.999421,5280.000463,53.92555133,6.80406728,7.746459236
734138.416,2374.249494,5275.000405,53.78569655,7.373897223,7.742569564
734138.4993,2380.499566,5270.000347,53.64584177,7.249941161,7.750358848
734138.5827,2386.749638,5265.000289,53.505987,7.089700781,7.749505457
734138.666,2392.999711,5260.000231,53.36613222,6.505436833,7.718081964
734138.7493,2399.249783,5255.000174,53.22627744,7.273820939,7.716145265
734138.8327,2405.499855,5250.000116,53.08642266,7.151811852,7.732496643
734138.916,2411.749928,5245.000058,52.94656788,7.408266358,7.702167478
734138.9993,2418,5240,52.8067131,7.397742089,7.705636186
734139.0827,2401.75,5243.333333,52.88628483,7.107118983,7.726446451
734139.166,2385.5,5246.666667,52.96585655,6.783905305,7.741345101
734139.2493,2369.25,5250,53.04542828,7.269195458,7.738100035
734139.3327,2353,5253.333333,53.125,7.221318212,7.752835629
734139.416,2336.75,5256.666667,53.20457172,7.115605061,7.770112436
734139.4993,2320.5,5260,53.28414345,7.311034627,7.767034843
734139.5827,2304.25,5263.333333,53.36371517,7.146361402,7.7695076
734139.666,2288,5266.666667,53.4432869,6.838376898,7.795564587
734139.7493,2271.75,5270,53.52285862,6.479381333,7.711322205
734139.8327,2255.5,5273.333333,53.60243034,7.090563776,7.7210066
734139.916,2239.25,5276.666667,53.68200207,7.039700254,7.734196
734139.9993,2223,5280,53.76157379,6.853068616,7.70117064
734140.0827,2259.749575,5291.666532,53.54215113,7.188913154,7.543532679
734140.166,2296.499149,5303.333063,53.32272847,7.164320335,7.693273898
734140.2493,2333.248724,5314.999595,53.10330581,6.899845356,7.545066924
734140.3327,2369.998299,5326.666127,52.88388314,7.259748625,7.689270405
734140.416,2406.747873,5338.332658,52.66446048,7.103127273,7.630656155
734140.4993,2443.497448,5349.99919,52.44503782,6.868552722,7.717738538
734140.5827,2480.247023,5361.665721,52.22561516,6.473226867,7.667514184
734140.666,2516.996597,5373.332253,52.0061925,7.06008214,7.69812618
734140.7493,2553.746172,5384.998785,51.78676984,7.186363082,7.702051243
734140.8327,2590.495747,5396.665316,51.56734717,7.495195777,7.709062496
